joint1,joint2,joint3,joint4,joint5,joint6
-1.145485579539756e-13,-0.5235987666666899,2.094395066666684,-1.422786604453506e-14,-1.5707963000000247,-1.3748294718548825e-13
-1.1666086748494393e-13,-0.5235987666666903,2.094395066666684,-1.449000263287109e-14,-1.5707963000000251,-1.4001833466895397e-13
-1.1877316251625201e-13,-0.5235987666666906,2.094395066666684,-1.4752469631392357e-14,-1.5707963000000256,-1.425538217109686e-13
-1.2088547258430254e-13,-0.5235987666666909,2.094395066666684,-1.501474636598376e-14,-1.5707963000000258,-1.4508922467323478e-13
-1.2299780938188654e-13,-0.5235987666666913,2.094395066666684,-1.5276703389562016e-14,-1.570796300000026,-1.4762454640626216e-13
-1.2511015200164642e-13,-0.5235987666666916,2.094395066666684,-1.553895069529865e-14,-1.5707963000000262,-1.5015999192708216e-13
-1.2722248300035732e-13,-0.5235987666666919,2.094395066666684,-1.5800954372650547e-14,-1.5707963000000265,-1.5269543062726975e-13
-1.2933482311158061e-13,-0.5235987666666923,2.094395066666684,-1.6062978769895468e-14,-1.5707963000000267,-1.55230847600954e-13
-1.3144715978029673e-13,-0.5235987666666926,2.094395066666684,-1.6324980268230476e-14,-1.570796300000027,-1.5776622598381253e-13
-1.3355950191014671e-13,-0.5235987666666929,2.094395066666684,-1.6586834529697263e-14,-1.5707963000000271,-1.603015790027953e-13
-1.3567185266447636e-13,-0.5235987666666932,2.094395066666684,-1.6848783361126986e-14,-1.5707963000000273,-1.6283693167868258e-13
-1.3778419633424493e-13,-0.5235987666666936,2.094395066666684,-1.711062841781622e-14,-1.5707963000000276,-1.6537225541052403e-13
-1.3989653530498263e-13,-0.5235987666666939,2.094395066666684,-1.7372406658743706e-14,-1.5707963000000278,-1.6790756324301362e-13
-1.420088700591568e-13,-0.5235987666666942,2.094395066666684,-1.763461670509898e-14,-1.570796300000028,-1.704427774415428e-13
-1.4412121960651805e-13,-0.5235987666666946,2.094395066666684,-1.789635241089748e-14,-1.5707963000000282,-1.729779941301035e-13
-1.4623358539457328e-13,-0.5235987666666949,2.094395066666684,-1.8157879705307313e-14,-1.5707963000000285,-1.7551313849742888e-13
-1.4834595611650583e-13,-0.5235987666666952,2.094395066666684,-1.8419552092203562e-14,-1.5707963000000287,-1.7804826254634619e-13
-1.504583038127706e-13,-0.5235987666666956,2.094395066666684,-1.868119390436013e-14,-1.570796300000029,-1.805832843382982e-13
-1.5257063389510227e-13,-0.5235987666666959,2.094395066666684,-1.894281671860212e-14,-1.5707963000000291,-1.8311832570789894e-13
-1.5468298315540765e-13,-0.5235987666666962,2.094395066666684,-1.920437907456844e-14,-1.5707963000000293,-1.8565328600325384e-13
-1.5679534022628797e-13,-0.5235987666666966,2.094395066666684,-1.9466142330792398e-14,-1.5707963000000296,-1.8818812809138663e-13
-1.5890768571936906e-13,-0.5235987666666968,2.094395066666684,-1.9728231346795117e-14,-1.5707963000000298,-1.9072297729319045e-13
-1.610200165155122e-13,-0.523598766666697,2.094395066666684,-1.9989968956888958e-14,-1.57079630000003,-1.9325781693625434e-13
-1.6313236609553322e-13,-0.5235987666666972,2.094395066666684,-2.0252009044550544e-14,-1.5707963000000302,-1.9579253130560453e-13
-1.6524471399044638e-13,-0.5235987666666975,2.094395066666684,-2.0514018699774494e-14,-1.5707963000000305,-1.9832717230771634e-13
-1.673570741192501e-13,-0.5235987666666977,2.094395066666684,-2.0776018704075954e-14,-1.5707963000000307,-2.008618198704659e-13
-1.694694136712732e-13,-0.5235987666666979,2.094395066666684,-2.1038292234736943e-14,-1.570796300000031,-2.0339656792378989e-13
